transaction_id,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
824c05c5edee4aaab66cd83595f8d57c,14.2596596606571,0.296706998015343,0.142656722336326,1,0,0,1,0
a476a471b3024c9abc504ad5477b26e0,20.4332181648982,0.131174618444687,1.85614259216663,1,1,0,1,0
647a8a9bf1a640888bf8f9e26258d680,11.0882774805184,0.108022456984151,1.45055324506117,1,0,0,0,0
335f0112a4f54034a2e0ad86093c0e47,5.74034137990929,2.3419077842816,3.2734257863965,1,0,0,1,0
b388e77a58574853864bc45cd8199ee3,77.7711340085546,0.0578582237759842,4.38945250470824,1,1,0,1,1
3931fdabea244f36b3b69da5a0a52c6e,47.4817797905292,0.0811303216950673,0.422236173143018,1,0,0,1,0
035360dd619a4cfcbc7280e916b9c1f4,41.1349446487271,0.329822942702759,0.454640029201523,1,0,0,1,0
f112b05fafe84b92bbe0c9bd660963df,24.9224876496172,0.63522524305014,3.00228982288933,1,0,0,0,0
7614ec1e21964557b068094e05136b99,6.28577262335727,1.23124100505616,0.760334349509113,1,0,0,1,0
06454e419e1c4d91a8c41838de0a1c81,1.02608749994472,0.212557130273289,0.449934705398365,0,0,0,0,0
669aed9dbc48422aa4c3d2aa5bd2aa5b,6.81732602382038,2.9857935272037,0.737499159137878,1,0,0,1,0
857b919ff3a4414baded5fdce6bce481,5.84267842528461,2.87754808186371,0.72985583132594,1,0,0,1,0
c2eddc4ad7994bef9de0274f1b96271b,391.872356967875,37.3574914391836,0.722161398299059,1,0,0,1,1
54e915876fa04649b2627ef73ca75a71,7.99499352595005,1.97609446592812,0.500438508151464,1,0,1,1,0
49189dd49f9a407bb54683540ec3e7d9,0.859660899723517,0.750498418248842,1.23703684999526,0,0,0,0,0
39ff6c246cad410d8adfc82c0d6cee9e,16.103359127169,4.2585562460998,0.459699632299742,1,0,0,1,0
927eaa99164b438192349c41b4807d2e,4.25763305315908,3.00407103179986,5.18312386975628,1,0,0,0,0
2e04044f450b45a19319247a910f5a3e,16.2481466051015,5.18207956992254,0.392213026731365,1,0,1,0,0
79b42ad2b5fd44a6b041bf0a86e43aed,3.61061785179608,0.140675205034769,3.98706026639075,1,0,0,1,0
0b128492628b481ab28433ab073533d5,5.16925801121236,2.23199708877823,0.828041203872835,1,0,0,1,0
6a951df4881645c091d431a302ba507b,39.587546266505,3.24151220978319,0.208457038917469,1,0,1,1,0
5ef4f4f55f744bab85537d82411e3ed4,8.42012513733196,26.4841476543668,0.523002221328506,1,0,0,0,0
997b7893fc2c427db0bbbbfe0096fafa,4.26602168796157,0.589471765179319,0.567760390500403,1,1,0,1,0
61f4be33757749c1ba23c0364a24a08e,2.14386608030808,0.0493066997059999,0.141390072218909,1,1,0,1,0
550ce49fcaf04e899c63f05ffeede98c,5.47494732890462,70.3218789470336,0.352765735587085,1,1,0,1,0
f338e0706a9548f9ac1cfafc67f0236d,33.7374215879338,16.2768254431787,0.911109482572987,1,1,0,1,0
dee6ba9d1af34389a0ecc6df452ab04d,18.7671603109214,53.9113775165378,0.683066946608705,1,0,0,0,0
